dataset,suite,scene,task_index,language
libero_10_full_full,libero_10,KITCHEN_SCENE3,3,turn on the stove and put the moka pot on it
libero_10_full_full,libero_10,KITCHEN_SCENE4,8,put the black bowl in the bottom drawer of the cabinet and close it
libero_10_full_full,libero_10,KITCHEN_SCENE6,2,put the yellow and white mug in the microwave and close it
libero_10_full_full,libero_10,KITCHEN_SCENE8,6,put both moka pots on the stove
libero_10_full_full,libero_10,LIVING_ROOM_SCENE1,4,put both the alphabet soup and the cream cheese box in the basket
libero_10_full_full,libero_10,LIVING_ROOM_SCENE2,5,put both the alphabet soup and the tomato sauce in the basket
libero_10_full_full,libero_10,LIVING_ROOM_SCENE2,7,put both the cream cheese box and the butter in the basket
libero_10_full_full,libero_10,LIVING_ROOM_SCENE5,0,put the white mug on the left plate and put the yellow and white mug on the right plate
libero_10_full_full,libero_10,LIVING_ROOM_SCENE6,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
libero_10_full_full,libero_10,STUDY_SCENE1,9,pick up the book and place it in the back compartment of the caddy
libero_90_full_full,libero_90,KITCHEN_SCENE1,62,open the top drawer of the cabinet and put the bowl in it
libero_90_full_full,libero_90,KITCHEN_SCENE1,72,open the bottom drawer of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE10,18,put the butter at the back in the top drawer of the cabinet and close it
libero_90_full_full,libero_90,KITCHEN_SCENE10,23,put the chocolate pudding in the top drawer of the cabinet and close it
libero_90_full_full,libero_90,KITCHEN_SCENE10,26,close the top drawer of the cabinet and put the black bowl on top of it
libero_90_full_full,libero_90,KITCHEN_SCENE10,32,put the butter at the front in the top drawer of the cabinet and close it
libero_90_full_full,libero_90,KITCHEN_SCENE2,5,put the middle black bowl on the plate
libero_90_full_full,libero_90,KITCHEN_SCENE2,14,put the middle black bowl on top of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE2,34,put the black bowl at the front on the plate
libero_90_full_full,libero_90,KITCHEN_SCENE2,38,stack the middle black bowl on the back black bowl
libero_90_full_full,libero_90,KITCHEN_SCENE2,55,put the black bowl at the back on the plate
libero_90_full_full,libero_90,KITCHEN_SCENE2,61,open the top drawer of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE2,67,stack the black bowl at the front on the black bowl in the middle
libero_90_full_full,libero_90,KITCHEN_SCENE3,64,put the frying pan on the stove
libero_90_full_full,libero_90,KITCHEN_SCENE3,69,put the moka pot on the stove
libero_90_full_full,libero_90,KITCHEN_SCENE4,7,put the wine bottle on the wine rack
libero_90_full_full,libero_90,KITCHEN_SCENE4,28,put the wine bottle in the bottom drawer of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE4,29,close the bottom drawer of the cabinet and open the top drawer
libero_90_full_full,libero_90,KITCHEN_SCENE4,39,close the bottom drawer of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE4,44,put the black bowl in the bottom drawer of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE5,4,put the black bowl on top of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE5,8,put the black bowl in the top drawer of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE5,31,put the ketchup in the top drawer of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE5,66,put the black bowl on the plate
libero_90_full_full,libero_90,KITCHEN_SCENE5,70,close the top drawer of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE6,17,close the microwave
libero_90_full_full,libero_90,KITCHEN_SCENE6,41,put the yellow and white mug to the front of the white mug
libero_90_full_full,libero_90,KITCHEN_SCENE7,10,put the white bowl on the plate
libero_90_full_full,libero_90,KITCHEN_SCENE7,20,open the microwave
libero_90_full_full,libero_90,KITCHEN_SCENE7,63,put the white bowl to the right of the plate
libero_90_full_full,libero_90,KITCHEN_SCENE8,13,put the right moka pot on the stove
libero_90_full_full,libero_90,KITCHEN_SCENE8,71,turn off the stove
libero_90_full_full,libero_90,KITCHEN_SCENE9,6,put the white bowl on top of the cabinet
libero_90_full_full,libero_90,KITCHEN_SCENE9,11,turn on the stove and put the frying pan on it
libero_90_full_full,libero_90,KITCHEN_SCENE9,16,put the frying pan under the cabinet shelf
libero_90_full_full,libero_90,KITCHEN_SCENE9,30,put the frying pan on the cabinet shelf
libero_90_full_full,libero_90,KITCHEN_SCENE9,43,turn on the stove
libero_90_full_full,libero_90,KITCHEN_SCENE9,56,put the frying pan on top of the cabinet
libero_90_full_full,libero_90,LIVING_ROOM_SCENE1,45,pick up the cream cheese box and put it in the basket
libero_90_full_full,libero_90,LIVING_ROOM_SCENE1,60,pick up the ketchup and put it in the basket
libero_90_full_full,libero_90,LIVING_ROOM_SCENE2,1,pick up the alphabet soup and put it in the basket
libero_90_full_full,libero_90,LIVING_ROOM_SCENE2,3,pick up the tomato sauce and put it in the basket
libero_90_full_full,libero_90,LIVING_ROOM_SCENE2,27,pick up the orange juice and put it in the basket
libero_90_full_full,libero_90,LIVING_ROOM_SCENE2,49,pick up the milk and put it in the basket
libero_90_full_full,libero_90,LIVING_ROOM_SCENE3,2,pick up the cream cheese and put it in the tray
libero_90_full_full,libero_90,LIVING_ROOM_SCENE3,46,pick up the tomato sauce and put it in the tray
libero_90_full_full,libero_90,LIVING_ROOM_SCENE3,48,pick up the alphabet soup and put it in the tray
libero_90_full_full,libero_90,LIVING_ROOM_SCENE3,53,pick up the ketchup and put it in the tray
libero_90_full_full,libero_90,LIVING_ROOM_SCENE3,59,pick up the butter and put it in the tray
